epoch,train_mse,val_mse
0,-1.0,0.009089957922697067
1,-1.0,0.004141624551266432
2,-1.0,0.0029170371126383543
3,-1.0,0.0027780551463365555
4,-1.0,0.0025957815814763308
5,-1.0,0.0027021674904972315
6,-1.0,0.0025944639928638935
7,-1.0,0.002369995228946209
8,-1.0,0.0022411260288208723
9,-1.0,0.0020708423107862473
10,-1.0,0.0018993832636624575
11,-1.0,0.0017758951289579272
12,-1.0,0.0016755313845351338
13,-1.0,0.001575314556248486
14,-1.0,0.0014760334743186831
15,-1.0,0.001373881008476019
16,-1.0,0.001289917854592204
17,-1.0,0.0012281326344236732
18,-1.0,0.0011840933002531528
19,-1.0,0.001152995740994811
20,-1.0,0.0011272900737822056
21,-1.0,0.0010999114019796252
22,-1.0,0.0010679158149287105
23,-1.0,0.001027763239108026
24,-1.0,0.0009936976712197065
25,-1.0,0.0009647685219533741
26,-1.0,0.0009478470892645419
27,-1.0,0.0009417510591447353
28,-1.0,0.0009403024450875819
29,-1.0,0.0009303631377406418
30,-1.0,0.0009058308787643909
31,-1.0,0.0008728484972380102
32,-1.0,0.0008373044547624886
33,-1.0,0.0008242883486673236
34,-1.0,0.0008375063771381974
35,-1.0,0.0008533307700417936
36,-1.0,0.0008336674072779715
37,-1.0,0.0007828756351955235
38,-1.0,0.0007297275587916374
39,-1.0,0.0006891803350299597
40,-1.0,0.0006623957888223231
41,-1.0,0.0006464801845140755
42,-1.0,0.0006440724828280509
43,-1.0,0.0006544591742567718
44,-1.0,0.0006731661851517856
45,-1.0,0.000696296920068562
46,-1.0,0.0007159460219554603
47,-1.0,0.0007226396119222045
